tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	78995	0	live	HROB	C17orf53, MCM8IP	homologous recombination factor with OB-fold	homologous recombination OB-fold protein|MCM8-9-Interacting Protein)|homologous recombincation factor with OB-fold|uncharacterized protein C17orf53	17q21.31	17	NC_000017.11	44141930	44162476	plus	13	618611	
9606	Homo sapiens	85009	0	live	MGC16025		uncharacterized LOC85009		2q37.3	2	NC_000002.12	239193331	239195457	minus	1		
9606	Homo sapiens	64897	0	live	C12orf43	Custos	chromosome 12 open reading frame 43	protein CUSTOS|uncharacterized protein C12orf43	12q24.31	12	NC_000012.12	121000486	121016487	minus	7		
9606	Homo sapiens	55969	0	live	RAB5IF	C20orf24, PNAS-11, RCAF1, RIP5	RAB5 interacting factor	respirasome Complex Assembly Factor 1|rab5-interacting protein|respirasome complex assembly factor 1|uncharacterized protein C20orf24	20q11.23	20	NC_000020.11	36605779	36612557	plus	5		
9606	Homo sapiens	84798	0	live	C19orf48	CA916798	chromosome 19 putative open reading frame 48	uncharacterized protein C19orf48	19q13.33	19	NC_000019.10	50797704	50804594	minus	6	618864	
9606	Homo sapiens	25912	0	live	C1orf43	HSPC012, NICE-3, NICE3, NS5ATP4, S863-3	chromosome 1 open reading frame 43	protein C1orf43|HCV NS5A-transactivated protein 4|hepatitis C virus NS5A-transactivated protein 4|uncharacterized protein C1orf43	1q21.3	1	NC_000001.11	154206720	154220590	minus	7	617428	
9606	Homo sapiens	144097	0	live	SPINDOC	C11orf84, SPIN-DOC	spindlin interactor and repressor of chromatin binding	spindlin interactor and repressor of chromatin-binding protein|SPIN1 docking protein|hypothetical protein BC007540|uncharacterized protein C11orf84	11q13.1	11	NC_000011.10	63813456	63827716	plus	8		
9606	Homo sapiens	119710	0	live	IFTAP	C11orf74, HEPIS, NWC	intraflagellar transport associated protein	intraflagellar transport-associated protein|protein C11orf74|uncharacterized protein C11orf74	11p12	11	NC_000011.10	36594502	36659272	plus	8	619270	
9606	Homo sapiens	51250	0	live	MTRES1	C6orf203, HSPC230, PRED31	mitochondrial transcription rescue factor 1	mitochondrial transcription rescue factor 1|uncharacterized protein C6orf203	6q21	6	NC_000006.12	107028199	107051586	plus	5	618583	
9606	Homo sapiens	25943	0	live	DNAAF9	C20orf194	dynein axonemal assembly factor 9	dynein axonemal assembly factor 9|shulin|uncharacterized protein C20orf194	20p13	20	NC_000020.11	3249306	3407669	minus	39	614146	
9606	Homo sapiens	152816	0	live	ODAPH	AI2A4, C4orf26	odontogenesis associated phosphoprotein	odontogenesis associated phosphoprotein|amelogenesis imperfecta type IIA4|uncharacterized protein C4orf26	4q21.1	4	NC_000004.12	75556066	75565893	plus	5	614829	
9606	Homo sapiens	149563	0	live	SRARP	C1orf64, ERRF	steroid receptor associated and regulated protein	steroid receptor-associated and regulated protein|ER-related factor|estrogen receptor-related factor|steroid receptor-regulated protein|uncharacterized protein C1orf64	1p36.13	1	NC_000001.11	16004236	16008807	plus	2	619448	
9606	Homo sapiens	90416	0	live	CCDC32	C15orf57, CFNDS	coiled-coil domain containing 32	coiled-coil domain-containing protein 32|uncharacterized protein C15orf57	15q15.1	15	NC_000015.10	40520993	40565042	minus	8	618941	
9606	Homo sapiens	79173	0	live	BRME1	C19orf57, MEIOK21	break repair meiotic recombinase recruitment factor 1	break repair meiotic recombinase recruitment factor 1|BRCA2 and MEILB2-associating protein 1|meiosis-specific 4930432K21RIK|pre-T/NK cell associated protein (3B3)|uncharacterized protein C19orf57	19p13.12	19	NC_000019.10	13882348	13906117	minus	10	619276	
9606	Homo sapiens	80231	0	live	TASL	CXorf21	TLR adaptor interacting with endolysosomal SLC15A4	TLR adapter interacting with SLC15A4 on the lysosome|5430427O19Rik|TLR adaptor interacting with SLC15A4 on the lysosome|protein CXorf21|uncharacterized protein CXorf21	Xp21.2	X	NC_000023.11	30558809	30577766	minus	3	301049	
9606	Homo sapiens	389384	0	live	BNIP5	C6orf222	BCL2 interacting protein 5	protein BNIP5|uncharacterized protein C6orf222	6p21.31	6	NC_000006.12	36315761	36336888	minus	13		
9606	Homo sapiens	158401	0	live	SHOC1	C9orf84, MZIP2, ZIP2, ZIP2H	shortage in chiasmata 1	protein shortage in chiasmata 1 ortholog|protein ZIP2 homolog|uncharacterized protein C9orf84	9q31.3	9	NC_000009.12	111686171	111794937	minus	32	618038	
9606	Homo sapiens	85016	0	live	CFAP300	C11orf70, CILD38, DNAAF17, FBB5	cilia and flagella associated protein 300	cilia- and flagella-associated protein 300|dynein axonemal assembly factor 17|uncharacterized protein C11orf70	11q22.1	11	NC_000011.10	102047437	102084554	plus	7	618058	
9606	Homo sapiens	25758	0	live	KIAA1549L	C11orf41, C11orf69, G2	KIAA1549 like	UPF0606 protein KIAA1549L|UPF0606 protein C11orf41|uncharacterized protein C11orf69	11p13	11	NC_000011.10	33376108	33674102	plus	21	612297	
9606	Homo sapiens	149840	0	live	SHLD1	C20orf196, RINN3	shieldin complex subunit 1	shieldin complex subunit 1|RINN1-REV7-interacting novel NHEJ regulator 3|shield complex subunit 1|uncharacterized protein C20orf196	20p12.3	20	NC_000020.11	5750193	5864395	plus	9	618028	
9606	Homo sapiens	102723722	0	live	LOC102723722		uncharacterized LOC102723722		22q13.2	22							
9606	Homo sapiens	389831	0	live	LOC389831		uncharacterized LOC389831	uncharacterized protein LOC389831		15	NT_113901.1	42938	86735	minus	5		
9606	Homo sapiens	101929667	0	live	LOC101929667		uncharacterized LOC101929667		2p22.1	2	NC_000002.12	40511922	40558453	plus	8		
9606	Homo sapiens	102723878	0	live	LOC102723878		uncharacterized LOC102723878		11q13.1	11	NC_000011.10	64325050	64340792	minus	6		
9606	Homo sapiens	105378215	0	live	CTB-99A3.1		uncharacterized CTB-99A3.1		5q32	5	NC_000005.10	146561307	146622284	plus	5		
9606	Homo sapiens	101060341	0	live	LOC101060341		putative uncharacterized protein FLJ44672	putative uncharacterized protein FLJ44672|uncharacterized protein LOC101060341	7p11.2	7	NC_000007.14	55746453	55750715	minus	4		
9606	Homo sapiens	100506901	0	live	LL0XNC01-250H12.3		uncharacterized LL0XNC01-250H12.3		Xq22.2	X	NC_000023.11	103404780	103517943	plus	12		
9606	Homo sapiens	102723370	0	live	LOC102723370		uncharacterized LOC102723370		11p15.1-p14.3	11	NC_000011.10	21753206	22119899	plus	14		
9606	Homo sapiens	105377871	0	live	LOC105377871		uncharacterized LOC105377871		6q14.1	6	NC_000006.12	81445242	81550244	minus	7		
9606	Homo sapiens	101928387	0	live	LOC101928387		uncharacterized LOC101928387		12p12.3	12	NC_000012.12	19553044	19673089	plus	11		
9606	Homo sapiens	102723409	0	live	LOC102723409		uncharacterized LOC102723409		6q22.33	6	NC_000006.12	129492482	129569566	minus	15		
9606	Homo sapiens	100996842	0	live	LOC100996842		uncharacterized LOC100996842		17p13.1	17	NC_000017.11	7581967	7584092	minus	3		
9606	Homo sapiens	102724528	0	live	LOC102724528		uncharacterized LOC102724528		1q24.3	1	NC_000001.11	172393751	172423356	minus	5		
9606	Homo sapiens	100507560	0	live	LOC100507560		uncharacterized LOC100507560		12p13.32	12	NC_000012.12	5007879	5025922	plus	7		
9606	Homo sapiens	100506974	0	live	LOC100506974		uncharacterized LOC100506974		17p12	17	NC_000017.11	13790327	13898625	minus	6		
9606	Homo sapiens	100294145	0	live	LOC100294145		uncharacterized LOC100294145		6p21.32	6	NC_000006.12	32894176	32903758	plus	2		
9606	Homo sapiens	105376177	0	live	LOC105376177		uncharacterized LOC105376177		9q31.1	9	NC_000009.12	100352962	100390566	plus	5		
9606	Homo sapiens	102724001	0	live	LOC102724001		uncharacterized LOC102724001		15q25.2	15	NC_000015.10	81859747	81967194	minus	8		
9606	Homo sapiens	102724351	0	live	LOC102724351		uncharacterized LOC102724351		10q24.33	10	NC_000010.11	103937113	103967045	minus	7		
9606	Homo sapiens	105376944	0	live	LOC105376944		uncharacterized LOC105376944		3p26.1	3	NC_000003.12	6693852	6735810	plus	11		
9606	Homo sapiens	101927896	0	live	LOC101927896		uncharacterized LOC101927896		2q37.2	2	NC_000002.12	234793178	234888889	minus	11		
9606	Homo sapiens	100506851	0	live	LOC100506851		uncharacterized LOC100506851		6q14.1	6	NC_000006.12	79405047	79489696	plus	9		
9606	Homo sapiens	100507547	0	live	LOC100507547		uncharacterized LOC100507547		6p21.32	6	NC_000006.12	32152802	32154365	minus	3		
9606	Homo sapiens	102723403	0	live	LOC102723403		uncharacterized LOC102723403		11p14.1	11	NC_000011.10	30355066	30363181	minus	5		
9606	Homo sapiens	101928842	0	live	LOC101928842		uncharacterized LOC101928842		6q14.3	6	NC_000006.12	85910360	85998678	plus	14		
9606	Homo sapiens	101928334	0	live	LOC101928334		uncharacterized LOC101928334		1p21.2	1	NC_000001.11	101150615	101176555	plus	8		
9606	Homo sapiens	105371692	0	live	LOC105371692		uncharacterized LOC105371692		1q32.1	1	NC_000001.11	204564171	204629717	plus	14		
9606	Homo sapiens	124903164	0	live	LOC124903164		uncharacterized LOC124903164	uncharacterized protein LOC124903164		13	NC_000013.11	42713173	42747456	minus	8		
9606	Homo sapiens	124901104	0	live	LOC124901104		uncharacterized LOC124901104	uncharacterized protein LOC124901104		5	NC_000005.10	149637243	149641481	minus	3		
9606	Homo sapiens	105376126	0	live	LOC105376126		uncharacterized LOC105376126		9q21.33	9	NC_000009.12	87195950	87299009	minus	13		
9606	Homo sapiens	105371026	0	live	LOC105371026		uncharacterized LOC105371026		15q26.3	15	NC_000015.10	101042234	101151839	minus	8		
9606	Homo sapiens	102725191	0	live	LOC102725191		uncharacterized LOC102725191	uncharacterized protein LOC102725191	7p21.3	7	NC_000007.14	12483344	12542188	plus	11		
9606	Homo sapiens	105372714	0	live	LOC105372714		uncharacterized LOC105372714		20q11.21	20	NC_000020.11	33140337	33160623	plus	9		
9606	Homo sapiens	101928953	0	live	LOC101928953		uncharacterized LOC101928953		8q24.3	8	NC_000008.11	144494090	144505474	minus	6		
9606	Homo sapiens	101927764	0	live	LOC101927764		uncharacterized LOC101927764		2q14.2	2	NC_000002.12	119717945	119759714	minus	6		
9606	Homo sapiens	105375463	0	live	LOC105375463		uncharacterized LOC105375463		7q31.2	7	NC_000007.14	116285479	116337208	plus	10		
9606	Homo sapiens	105374297	0	live	LOC105374297		uncharacterized LOC105374297		3q29	3	NC_000003.12	195646635	195652159	minus	3		
9606	Homo sapiens	101929200	0	live	LOC101929200		uncharacterized LOC101929200		5p15.32	5	NC_000005.10	5258550	5422129	minus	9		
9606	Homo sapiens	339260	0	live	LOC339260		uncharacterized LOC339260		17p11.2	17	NC_000017.11	20938566	20982357	plus	7		
9606	Homo sapiens	105375026	0	live	LOC105375026		uncharacterized LOC105375026		6p21.31	6	NC_000006.12	33893129	33914794	plus	8		
9606	Homo sapiens	105371204	0	live	LOC105371204		uncharacterized LOC105371204		16p11.1	16	NC_000016.10	35506610	35524422	plus	7		
9606	Homo sapiens	105369367	0	live	LOC105369367		uncharacterized LOC105369367		11q13.3	11	NC_000011.10	69228749	69234934	minus	5		
9606	Homo sapiens	101927414	0	live	LOC101927414		uncharacterized LOC101927414		4q28.3	4	NC_000004.12	137603714	137700865	minus	11		
9606	Homo sapiens	124903442	0	live	LOC124903442		uncharacterized LOC124903442	uncharacterized protein LOC124903442		15	NC_000015.10	20295653	20332127	plus	5		
9606	Homo sapiens	105378098	0	live	LOC105378098		uncharacterized LOC105378098		6q26	6	NC_000006.12	161470977	161484045	plus	5		
9606	Homo sapiens	105376714	0	live	LOC105376714		uncharacterized LOC105376714	uncharacterized protein LOC105376714	15q21.1	15	NC_000015.10	45448354	45500048	plus	11		
9606	Homo sapiens	105375790	0	live	LOC105375790		uncharacterized LOC105375790		8q24.3	8	NC_000008.11	141388350	141392621	minus	4		
9606	Homo sapiens	105375566	0	live	LOC105375566		uncharacterized LOC105375566		7q36.1	7	NC_000007.14	150761587	150782061	minus	7		
9606	Homo sapiens	105370259	0	live	LOC105370259		uncharacterized LOC105370259		13q22.1	13	NC_000013.11	74288036	74408803	plus	7		
9606	Homo sapiens	101929305	0	live	LOC101929305		uncharacterized LOC101929305		1q32.1	1	NC_000001.11	201023949	201043057	plus	8		
9606	Homo sapiens	101928004	0	live	LOC101928004		uncharacterized LOC101928004		6p25.1	6	NC_000006.12	6694792	6801171	minus	12		
9606	Homo sapiens	100507403	0	live	LOC100507403		uncharacterized LOC100507403		8p11.23	8	NC_000008.11	37327364	37331931	minus	4		
9606	Homo sapiens	100505664	0	live	LOC100505664		uncharacterized LOC100505664		20p11.21	20	NC_000020.11	23159640	23190307	plus	9		
9606	Homo sapiens	112268269	0	live	LOC112268269		uncharacterized LOC112268269		20q13.33	20	NC_000020.11	63861215	63865073	minus	2		
9606	Homo sapiens	105378146	0	live	LOC105378146		uncharacterized LOC105378146		6q27	6	NC_000006.12	168927741	168964382	minus	6		
9606	Homo sapiens	105376805	0	live	LOC105376805		uncharacterized LOC105376805		1p36.13	1	NC_000001.11	16888538	16889666	minus	3		
9606	Homo sapiens	105371818	0	live	LOC105371818		uncharacterized LOC105371818		17q21.33	17	NC_000017.11	50158332	50166357	minus	5		
9606	Homo sapiens	101929800	0	live	LOC101929800		uncharacterized LOC101929800		9q21.11	9	NC_000009.12	68323854	68330436	plus	7		
9606	Homo sapiens	101929707	0	live	LOC101929707		uncharacterized LOC101929707		20p11.21	20	NC_000020.11	22995708	23030802	minus	15		
9606	Homo sapiens	284912	0	live	LOC284912		uncharacterized LOC284912		22q12.3	22	NC_000022.11	35627576	35637934	minus	8		
9606	Homo sapiens	124909478	0	live	LOC124909478		uncharacterized LOC124909478			3	NC_000003.12	196018694	196035453	minus	6		
9606	Homo sapiens	124909333	0	live	LOC124909333		uncharacterized LOC124909333			Y							
9606	Homo sapiens	124909325	0	live	LOC124909325		uncharacterized LOC124909325			Y							
9606	Homo sapiens	124909315	0	live	LOC124909315		uncharacterized LOC124909315			Y							
9606	Homo sapiens	124909312	0	live	LOC124909312		uncharacterized LOC124909312			Y							
9606	Homo sapiens	124909300	0	live	LOC124909300		uncharacterized LOC124909300			Y							
9606	Homo sapiens	124909298	0	live	LOC124909298		uncharacterized LOC124909298			Y							
9606	Homo sapiens	124909296	0	live	LOC124909296		uncharacterized LOC124909296			Y							
9606	Homo sapiens	124909286	0	live	LOC124909286		uncharacterized LOC124909286			Y							
9606	Homo sapiens	124909285	0	live	LOC124909285		uncharacterized LOC124909285			Y							
9606	Homo sapiens	124909277	0	live	LOC124909277		uncharacterized LOC124909277			Y							
9606	Homo sapiens	124909273	0	live	LOC124909273		uncharacterized LOC124909273			Y							
9606	Homo sapiens	124909272	0	live	LOC124909272		uncharacterized LOC124909272			Y							
9606	Homo sapiens	124909265	0	live	LOC124909265		uncharacterized LOC124909265			Y							
9606	Homo sapiens	124909255	0	live	LOC124909255		uncharacterized LOC124909255			Y							
9606	Homo sapiens	124909250	0	live	LOC124909250		uncharacterized LOC124909250			Y							
9606	Homo sapiens	124909245	0	live	LOC124909245		uncharacterized LOC124909245			Y							
9606	Homo sapiens	124909240	0	live	LOC124909240		uncharacterized LOC124909240			Y							
9606	Homo sapiens	124909239	0	live	LOC124909239		uncharacterized LOC124909239			Y							
9606	Homo sapiens	124909237	0	live	LOC124909237		uncharacterized LOC124909237			Y							
9606	Homo sapiens	124909230	0	live	LOC124909230		uncharacterized LOC124909230			Y							
9606	Homo sapiens	124909226	0	live	LOC124909226		uncharacterized LOC124909226			Y							
9606	Homo sapiens	124909219	0	live	LOC124909219		uncharacterized LOC124909219			Y							
9606	Homo sapiens	124909218	0	live	LOC124909218		uncharacterized LOC124909218			Y							
9606	Homo sapiens	124909216	0	live	LOC124909216		uncharacterized LOC124909216			Y							
9606	Homo sapiens	124909198	0	live	LOC124909198		uncharacterized LOC124909198			Y							
9606	Homo sapiens	124909190	0	live	LOC124909190		uncharacterized LOC124909190			Y							
9606	Homo sapiens	124909177	0	live	LOC124909177		uncharacterized LOC124909177			Y							
9606	Homo sapiens	124909166	0	live	LOC124909166		uncharacterized LOC124909166			Y							
9606	Homo sapiens	124909163	0	live	LOC124909163		uncharacterized LOC124909163			Y							
9606	Homo sapiens	124909157	0	live	LOC124909157		uncharacterized LOC124909157			Y							
9606	Homo sapiens	124909155	0	live	LOC124909155		uncharacterized LOC124909155			Y							
9606	Homo sapiens	124909147	0	live	LOC124909147		uncharacterized LOC124909147			Y							
9606	Homo sapiens	124909146	0	live	LOC124909146		uncharacterized LOC124909146			Y							
9606	Homo sapiens	124909132	0	live	LOC124909132		uncharacterized LOC124909132			Y							
9606	Homo sapiens	124909118	0	live	LOC124909118		uncharacterized LOC124909118			Y							
9606	Homo sapiens	124909114	0	live	LOC124909114		uncharacterized LOC124909114			Y							
9606	Homo sapiens	124909113	0	live	LOC124909113		uncharacterized LOC124909113			Y							
9606	Homo sapiens	124909107	0	live	LOC124909107		uncharacterized LOC124909107			Y							
9606	Homo sapiens	124909095	0	live	LOC124909095		uncharacterized LOC124909095			Y							
9606	Homo sapiens	124909085	0	live	LOC124909085		uncharacterized LOC124909085			Y							
9606	Homo sapiens	124909078	0	live	LOC124909078		uncharacterized LOC124909078			Y							
9606	Homo sapiens	124909057	0	live	LOC124909057		uncharacterized LOC124909057			Y							
9606	Homo sapiens	124909056	0	live	LOC124909056		uncharacterized LOC124909056			Y							
9606	Homo sapiens	124909050	0	live	LOC124909050		uncharacterized LOC124909050			Y							
9606	Homo sapiens	124909049	0	live	LOC124909049		uncharacterized LOC124909049			Y							
9606	Homo sapiens	124909048	0	live	LOC124909048		uncharacterized LOC124909048			Y							
9606	Homo sapiens	124909047	0	live	LOC124909047		uncharacterized LOC124909047			Y							
9606	Homo sapiens	124909034	0	live	LOC124909034		uncharacterized LOC124909034			Y							
9606	Homo sapiens	124909032	0	live	LOC124909032		uncharacterized LOC124909032			Y							
9606	Homo sapiens	124909026	0	live	LOC124909026		uncharacterized LOC124909026			Y							
9606	Homo sapiens	124909025	0	live	LOC124909025		uncharacterized LOC124909025			Y							
9606	Homo sapiens	124909024	0	live	LOC124909024		uncharacterized LOC124909024			Y							
9606	Homo sapiens	124909023	0	live	LOC124909023		uncharacterized LOC124909023			Y							
9606	Homo sapiens	124909009	0	live	LOC124909009		uncharacterized LOC124909009			Y							
9606	Homo sapiens	124909008	0	live	LOC124909008		uncharacterized LOC124909008			Y							
9606	Homo sapiens	124909007	0	live	LOC124909007		uncharacterized LOC124909007			Y							
9606	Homo sapiens	124909002	0	live	LOC124909002		uncharacterized LOC124909002			Y							
9606	Homo sapiens	124908990	0	live	LOC124908990		uncharacterized LOC124908990			Y							
9606	Homo sapiens	124908968	0	live	LOC124908968		uncharacterized LOC124908968			Y							
9606	Homo sapiens	124908966	0	live	LOC124908966		uncharacterized LOC124908966			Y							
9606	Homo sapiens	124908964	0	live	LOC124908964		uncharacterized LOC124908964			Y							
9606	Homo sapiens	124908962	0	live	LOC124908962		uncharacterized LOC124908962			Y							
9606	Homo sapiens	124908956	0	live	LOC124908956		uncharacterized LOC124908956			Y							
9606	Homo sapiens	124908955	0	live	LOC124908955		uncharacterized LOC124908955			Y							
9606	Homo sapiens	124908951	0	live	LOC124908951		uncharacterized LOC124908951			Y							
9606	Homo sapiens	124908944	0	live	LOC124908944		uncharacterized LOC124908944			Y							
9606	Homo sapiens	124908942	0	live	LOC124908942		uncharacterized LOC124908942			Y							
9606	Homo sapiens	124908939	0	live	LOC124908939		uncharacterized LOC124908939			Y							
9606	Homo sapiens	124908934	0	live	LOC124908934		uncharacterized LOC124908934			Y							
9606	Homo sapiens	124908924	0	live	LOC124908924		uncharacterized LOC124908924			Y							
9606	Homo sapiens	124908916	0	live	LOC124908916		uncharacterized LOC124908916			Y							
9606	Homo sapiens	124908898	0	live	LOC124908898		uncharacterized LOC124908898			Y							
9606	Homo sapiens	124908892	0	live	LOC124908892		uncharacterized LOC124908892			Y							
9606	Homo sapiens	124908891	0	live	LOC124908891		uncharacterized LOC124908891			Y							
9606	Homo sapiens	124908890	0	live	LOC124908890		uncharacterized LOC124908890			Y							
9606	Homo sapiens	124908889	0	live	LOC124908889		uncharacterized LOC124908889			Y							
9606	Homo sapiens	124908877	0	live	LOC124908877		uncharacterized LOC124908877			Y							
9606	Homo sapiens	124908863	0	live	LOC124908863		uncharacterized LOC124908863			Y							
9606	Homo sapiens	124908850	0	live	LOC124908850		uncharacterized LOC124908850			Y							
9606	Homo sapiens	124908849	0	live	LOC124908849		uncharacterized LOC124908849			Y							
9606	Homo sapiens	124908841	0	live	LOC124908841		uncharacterized LOC124908841			Y							
9606	Homo sapiens	124908817	0	live	LOC124908817		uncharacterized LOC124908817			Y							
9606	Homo sapiens	124908816	0	live	LOC124908816		uncharacterized LOC124908816			Y							
9606	Homo sapiens	124908813	0	live	LOC124908813		uncharacterized LOC124908813			Y							
9606	Homo sapiens	124908804	0	live	LOC124908804		uncharacterized LOC124908804			Y							
9606	Homo sapiens	124908803	0	live	LOC124908803		uncharacterized LOC124908803			Y							
9606	Homo sapiens	124908797	0	live	LOC124908797		uncharacterized LOC124908797			Y							
9606	Homo sapiens	124908792	0	live	LOC124908792		uncharacterized LOC124908792			Y							
9606	Homo sapiens	124908784	0	live	LOC124908784		uncharacterized LOC124908784			Y							
9606	Homo sapiens	124908777	0	live	LOC124908777		uncharacterized LOC124908777	uncharacterized protein LOC124908777		Y							
9606	Homo sapiens	124908774	0	live	LOC124908774		uncharacterized LOC124908774			Y							
9606	Homo sapiens	124908772	0	live	LOC124908772		uncharacterized LOC124908772			Y							
9606	Homo sapiens	124908768	0	live	LOC124908768		uncharacterized LOC124908768			Y							
9606	Homo sapiens	124908758	0	live	LOC124908758		uncharacterized LOC124908758			Y							
9606	Homo sapiens	124908752	0	live	LOC124908752		uncharacterized LOC124908752			Y							
9606	Homo sapiens	124908751	0	live	LOC124908751		uncharacterized LOC124908751			Y							
9606	Homo sapiens	124908746	0	live	LOC124908746		uncharacterized LOC124908746			Y							
9606	Homo sapiens	124908742	0	live	LOC124908742		uncharacterized LOC124908742			Y							
9606	Homo sapiens	124908741	0	live	LOC124908741		uncharacterized LOC124908741			Y							
9606	Homo sapiens	124908737	0	live	LOC124908737		uncharacterized LOC124908737			Y							
